25,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,
,,,,b1,b1,b1,,,,b1,b1,x,b2,b2,,,,b2,b2,b2,,,,
,,,,b1,b1,b1,,,,b1,b1,,b2,b2,,,,b2,b2,b2,,,,
,,,,b1,b1,x,x,x,x,x,x,x,x,x,x,x,x,x,b2,b2,,,,
,,,,b1,b1,x,b1,b1,,,,,,,,b2,b2,x,b2,b2,,,,
,,,,b1,b1,x,b1,b1,,,,,,,,b2,b2,x,b2,b2,,,,
e2,,s1,,b1,b1,b1,b1,b1,,,,,,,,b2,b2,b2,b2,b2,,s2,,e1
,,,,b1,b1,x,b1,b1,,,,,,,,b2,b2,x,b2,b2,,,,
,,,,b1,b1,x,b1,b1,,,,,,,,b2,b2,x,b2,b2,,,,
,,,,b1,b1,x,x,x,x,x,x,x,x,x,x,x,x,x,b2,b2,,,,
,,,,b1,b1,b1,,,,b1,b1,,b2,b2,,,,b2,b2,b2,,,,
,,,,b1,b1,b1,,,,b1,b1,x,b2,b2,,,,b2,b2,b2,,,,
