25,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,,,,,b1,b1,,,,,,x,,,,,,b2,b2,,,,,x
x,,,,,b1,b1,,,,,,,,,,,,b2,b2,,,,,x
x,,,,,b1,b1,,,,,,x,,,,,,b2,b2,,,,,x
x,,,,,b1,x,x,x,x,x,x,x,x,x,x,x,x,x,b2,,,,,x
x,,,,,b1,x,,,,,,,,,,,,x,b2,,,,,x
x,,,,,b1,x,,,,,,,,,,,,x,b2,,,,,x
x,e2,,s1,,b1,b1,,,,,,,,,,,,b2,b2,,s2,,e1,x
x,,,,,b1,x,,,,,,,,,,,,x,b2,,,,,x
x,,,,,b1,x,,,,,,,,,,,,x,b2,,,,,x
x,,,,,b1,x,x,x,x,x,x,x,x,x,x,x,x,x,b2,,,,,x
x,,,,,b1,b1,,,,,,x,,,,,,b2,b2,,,,,x
x,,,,,b1,b1,,,,,,,,,,,,b2,b2,,,,,x
x,,,,,b1,b1,,,,,,x,,,,,,b2,b2,,,,,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
